Date,Product_ID,Product_Name,Category,Units_Sold,Revenue,Stock_Level
2024-01-17,P007,Coffee Maker,Home Appliances,8,640,60
2024-01-18,P001,Winter Coat,Clothing,22,2200,48
2024-01-18,P002,T-Shirt,Clothing,16,400,185
2024-01-18,P003,Chocolate Box,Food,5,100,161
2024-01-18,P004,LED TV,Electronics,19,7600,43
2024-01-18,P005,Notebook Pack,Stationery,6,30,88
2024-01-18,P006,Rain Jacket,Clothing,2,120,124
2024-01-18,P007,Coffee Maker,Home Appliances,15,1200,159
2024-01-19,P001,Winter Coat,Clothing,30,3000,190
2024-01-19,P002,T-Shirt,Clothing,5,125,153
2024-01-19,P003,Chocolate Box,Food,6,120,82
2024-01-19,P004,LED TV,Electronics,9,3600,142
2024-01-19,P005,Notebook Pack,Stationery,9,45,150
2024-01-19,P006,Rain Jacket,Clothing,5,300,190
2024-01-19,P007,Coffee Maker,Home Appliances,13,1040,145
2024-01-20,P001,Winter Coat,Clothing,36,3600,42
2024-01-20,P002,T-Shirt,Clothing,23,575,134
2024-01-20,P003,Chocolate Box,Food,15,300,67
2024-01-20,P004,LED TV,Electronics,8,3200,29
2024-01-20,P005,Notebook Pack,Stationery,3,15,152
2024-01-20,P006,Rain Jacket,Clothing,4,240,31
2024-01-20,P007,Coffee Maker,Home Appliances,2,160,156
2024-01-21,P001,Winter Coat,Clothing,35,3500,40
2024-01-21,P002,T-Shirt,Clothing,10,250,64
2024-01-21,P003,Chocolate Box,Food,7,140,56
2024-01-21,P004,LED TV,Electronics,9,3600,145
2024-01-21,P005,Notebook Pack,Stationery,20,100,10
2024-01-21,P006,Rain Jacket,Clothing,4,240,45
2024-01-21,P007,Coffee Maker,Home Appliances,15,1200,15
2024-01-22,P001,Winter Coat,Clothing,23,2300,121
2024-01-22,P002,T-Shirt,Clothing,7,175,108
2024-01-22,P003,Chocolate Box,Food,13,260,63
2024-01-22,P004,LED TV,Electronics,11,4400,160
2024-01-22,P005,Notebook Pack,Stationery,9,45,127
2024-01-22,P006,Rain Jacket,Clothing,5,300,89
2024-01-22,P007,Coffee Maker,Home Appliances,3,240,165
2024-01-23,P001,Winter Coat,Clothing,37,3700,80
2024-01-23,P002,T-Shirt,Clothing,25,625,169
2024-01-23,P003,Chocolate Box,Food,8,160,193
2024-01-23,P004,LED TV,Electronics,7,2800,147
2024-01-23,P005,Notebook Pack,Stationery,19,95,129
2024-01-23,P006,Rain Jacket,Clothing,1,60,22
2024-01-23,P007,Coffee Maker,Home Appliances,17,1360,164
2024-01-24,P001,Winter Coat,Clothing,48,4800,151
2024-01-24,P002,T-Shirt,Clothing,15,375,85
2024-01-24,P003,Chocolate Box,Food,10,200,89
2024-01-24,P004,LED TV,Electronics,16,6400,115
2024-01-24,P005,Notebook Pack,Stationery,15,75,125
2024-01-24,P006,Rain Jacket,Clothing,4,240,200
2024-01-24,P007,Coffee Maker,Home Appliances,11,880,22
2024-01-25,P001,Winter Coat,Clothing,34,3400,175
2024-01-25,P002,T-Shirt,Clothing,9,225,75
2024-01-25,P003,Chocolate Box,Food,8,160,193
2024-01-25,P004,LED TV,Electronics,2,800,11
2024-01-25,P005,Notebook Pack,Stationery,18,90,89
2024-01-25,P006,Rain Jacket,Clothing,3,180,160
2024-01-25,P007,Coffee Maker,Home Appliances,19,1520,103
2024-01-26,P001,Winter Coat,Clothing,34,3400,123
2024-01-26,P002,T-Shirt,Clothing,22,550,157
2024-01-26,P003,Chocolate Box,Food,6,120,127
2024-01-26,P004,LED TV,Electronics,6,2400,169
2024-01-26,P005,Notebook Pack,Stationery,20,100,19
2024-01-26,P006,Rain Jacket,Clothing,2,120,149
2024-01-26,P007,Coffee Maker,Home Appliances,4,320,67
2024-01-27,P001,Winter Coat,Clothing,35,3500,65
2024-01-27,P002,T-Shirt,Clothing,11,275,189
2024-01-27,P003,Chocolate Box,Food,8,160,14
2024-01-27,P004,LED TV,Electronics,22,8800,122
2024-01-27,P005,Notebook Pack,Stationery,19,95,155
2024-01-27,P006,Rain Jacket,Clothing,2,120,95
2024-01-27,P007,Coffee Maker,Home Appliances,13,1040,167
2024-01-28,P001,Winter Coat,Clothing,35,3500,90
2024-01-28,P002,T-Shirt,Clothing,14,350,20
2024-01-28,P003,Chocolate Box,Food,17,340,9
2024-01-28,P004,LED TV,Electronics,23,9200,122
2024-01-28,P005,Notebook Pack,Stationery,23,115,36
2024-01-28,P006,Rain Jacket,Clothing,5,300,141
2024-01-28,P007,Coffee Maker,Home Appliances,21,1680,83
2024-01-29,P001,Winter Coat,Clothing,47,4700,27
2024-01-29,P002,T-Shirt,Clothing,13,325,158
2024-01-29,P003,Chocolate Box,Food,8,160,112
2024-01-29,P004,LED TV,Electronics,15,6000,42
2024-01-29,P005,Notebook Pack,Stationery,14,70,67
2024-01-29,P006,Rain Jacket,Clothing,4,240,195
2024-01-29,P007,Coffee Maker,Home Appliances,2,160,147
2024-01-30,P001,Winter Coat,Clothing,23,2300,137
2024-01-30,P002,T-Shirt,Clothing,24,600,124
2024-01-30,P003,Chocolate Box,Food,15,300,58
2024-01-30,P004,LED TV,Electronics,12,4800,27
2024-01-30,P005,Notebook Pack,Stationery,8,40,124
2024-01-30,P006,Rain Jacket,Clothing,5,300,29
2024-01-30,P007,Coffee Maker,Home Appliances,24,1920,123
2024-01-31,P001,Winter Coat,Clothing,25,2500,126
2024-01-31,P002,T-Shirt,Clothing,5,125,70
2024-01-31,P003,Chocolate Box,Food,6,120,125
2024-01-31,P004,LED TV,Electronics,16,6400,124
2024-01-31,P005,Notebook Pack,Stationery,4,20,198
2024-01-31,P006,Rain Jacket,Clothing,2,120,123
2024-01-31,P007,Coffee Maker,Home Appliances,15,1200,131
2024-02-01,P001,Winter Coat,Clothing,3,300,59
2024-02-01,P002,T-Shirt,Clothing,24,600,198
2024-02-01,P003,Chocolate Box,Food,42,840,90
2024-02-01,P004,LED TV,Electronics,16,6400,81
2024-02-01,P005,Notebook Pack,Stationery,24,120,198
2024-02-01,P006,Rain Jacket,Clothing,5,300,160
2024-02-01,P007,Coffee Maker,Home Appliances,15,1200,5
2024-02-02,P001,Winter Coat,Clothing,5,500,58
2024-02-02,P002,T-Shirt,Clothing,25,625,99
2024-02-02,P003,Chocolate Box,Food,37,740,157
2024-02-02,P004,LED TV,Electronics,25,10000,185
2024-02-02,P005,Notebook Pack,Stationery,16,80,6
2024-02-02,P006,Rain Jacket,Clothing,1,60,146
2024-02-02,P007,Coffee Maker,Home Appliances,23,1840,72
2024-02-03,P001,Winter Coat,Clothing,4,400,5
2024-02-03,P002,T-Shirt,Clothing,21,525,191
2024-02-03,P003,Chocolate Box,Food,32,640,121
2024-02-03,P004,LED TV,Electronics,22,8800,81
2024-02-03,P005,Notebook Pack,Stationery,18,90,109
2024-02-03,P006,Rain Jacket,Clothing,5,300,121
2024-02-03,P007,Coffee Maker,Home Appliances,6,480,59
2024-02-04,P001,Winter Coat,Clothing,4,400,153
2024-02-04,P002,T-Shirt,Clothing,3,75,39
2024-02-04,P003,Chocolate Box,Food,42,840,76
2024-02-04,P004,LED TV,Electronics,11,4400,173
2024-02-04,P005,Notebook Pack,Stationery,23,115,42
2024-02-04,P006,Rain Jacket,Clothing,4,240,77
2024-02-04,P007,Coffee Maker,Home Appliances,2,160,170
2024-02-05,P001,Winter Coat,Clothing,2,200,154
2024-02-05,P002,T-Shirt,Clothing,15,375,146
2024-02-05,P003,Chocolate Box,Food,47,940,43
2024-02-05,P004,LED TV,Electronics,4,1600,127
2024-02-05,P005,Notebook Pack,Stationery,7,35,93
2024-02-05,P006,Rain Jacket,Clothing,2,120,91
2024-02-05,P007,Coffee Maker,Home Appliances,17,1360,164
2024-02-06,P001,Winter Coat,Clothing,4,400,68
2024-02-06,P002,T-Shirt,Clothing,6,150,99
2024-02-06,P003,Chocolate Box,Food,41,820,181
2024-02-06,P004,LED TV,Electronics,19,7600,113
2024-02-06,P005,Notebook Pack,Stationery,6,30,24
2024-02-06,P006,Rain Jacket,Clothing,1,60,193
2024-02-06,P007,Coffee Maker,Home Appliances,21,1680,128
2024-02-07,P001,Winter Coat,Clothing,2,200,98
2024-02-07,P002,T-Shirt,Clothing,19,475,73
2024-02-07,P003,Chocolate Box,Food,33,660,128
2024-02-07,P004,LED TV,Electronics,13,5200,76
2024-02-07,P005,Notebook Pack,Stationery,15,75,113
2024-02-07,P006,Rain Jacket,Clothing,3,180,170
2024-02-07,P007,Coffee Maker,Home Appliances,24,1920,64
2024-02-08,P001,Winter Coat,Clothing,0,0,184
2024-02-08,P002,T-Shirt,Clothing,20,500,135
2024-02-08,P003,Chocolate Box,Food,24,480,191
2024-02-08,P004,LED TV,Electronics,17,6800,163
2024-02-08,P005,Notebook Pack,Stationery,12,60,124
2024-02-08,P006,Rain Jacket,Clothing,4,240,160
2024-02-08,P007,Coffee Maker,Home Appliances,15,1200,134
2024-02-09,P001,Winter Coat,Clothing,2,200,167
2024-02-09,P002,T-Shirt,Clothing,18,450,162
2024-02-09,P003,Chocolate Box,Food,24,480,180
2024-02-09,P004,LED TV,Electronics,8,3200,163
2024-02-09,P005,Notebook Pack,Stationery,22,110,50
2024-02-09,P006,Rain Jacket,Clothing,2,120,134
2024-02-09,P007,Coffee Maker,Home Appliances,2,160,59
2024-02-10,P001,Winter Coat,Clothing,3,300,111
2024-02-10,P002,T-Shirt,Clothing,9,225,122
2024-02-10,P003,Chocolate Box,Food,39,780,112
2024-02-10,P004,LED TV,Electronics,3,1200,47
2024-02-10,P005,Notebook Pack,Stationery,25,125,112
2024-02-10,P006,Rain Jacket,Clothing,5,300,92
2024-02-10,P007,Coffee Maker,Home Appliances,14,1120,37
2024-02-11,P001,Winter Coat,Clothing,5,500,115
2024-02-11,P002,T-Shirt,Clothing,5,125,74
2024-02-11,P003,Chocolate Box,Food,37,740,173
2024-02-11,P004,LED TV,Electronics,9,3600,76
2024-02-11,P005,Notebook Pack,Stationery,17,85,127
2024-02-11,P006,Rain Jacket,Clothing,5,300,127
2024-02-11,P007,Coffee Maker,Home Appliances,18,1440,27
2024-02-12,P001,Winter Coat,Clothing,3,300,36
2024-02-12,P002,T-Shirt,Clothing,25,625,108
2024-02-12,P003,Chocolate Box,Food,36,720,83
2024-02-12,P004,LED TV,Electronics,12,4800,98
2024-02-12,P005,Notebook Pack,Stationery,19,95,15
2024-02-12,P006,Rain Jacket,Clothing,2,120,65
2024-02-12,P007,Coffee Maker,Home Appliances,22,1760,130
2024-02-13,P001,Winter Coat,Clothing,5,500,161
2024-02-13,P002,T-Shirt,Clothing,9,225,200
2024-02-13,P003,Chocolate Box,Food,24,480,132
2024-02-13,P004,LED TV,Electronics,18,7200,129
2024-02-13,P005,Notebook Pack,Stationery,10,50,49
2024-02-13,P006,Rain Jacket,Clothing,5,300,131
2024-02-13,P007,Coffee Maker,Home Appliances,20,1600,95
2024-02-14,P001,Winter Coat,Clothing,5,500,138
2024-02-14,P002,T-Shirt,Clothing,7,175,189
2024-02-14,P003,Chocolate Box,Food,26,520,188
2024-02-14,P004,LED TV,Electronics,23,9200,140
2024-02-14,P005,Notebook Pack,Stationery,10,50,102
2024-02-14,P006,Rain Jacket,Clothing,1,60,19
2024-02-14,P007,Coffee Maker,Home Appliances,18,1440,54
2024-02-15,P001,Winter Coat,Clothing,3,300,187
2024-02-15,P002,T-Shirt,Clothing,24,600,69
2024-02-15,P003,Chocolate Box,Food,37,740,12
2024-02-15,P004,LED TV,Electronics,17,6800,100
2024-02-15,P005,Notebook Pack,Stationery,17,85,88
2024-02-15,P006,Rain Jacket,Clothing,2,120,175
2024-02-15,P007,Coffee Maker,Home Appliances,20,1600,84
2024-02-16,P001,Winter Coat,Clothing,3,300,134
2024-02-16,P002,T-Shirt,Clothing,11,275,67
2024-02-16,P003,Chocolate Box,Food,34,680,86
2024-02-16,P004,LED TV,Electronics,7,2800,106
2024-02-16,P005,Notebook Pack,Stationery,15,75,56
2024-02-16,P006,Rain Jacket,Clothing,4,240,64
2024-02-16,P007,Coffee Maker,Home Appliances,11,880,155
2024-02-17,P001,Winter Coat,Clothing,0,0,33
2024-02-17,P002,T-Shirt,Clothing,24,600,145
2024-02-17,P003,Chocolate Box,Food,20,400,53
2024-02-17,P004,LED TV,Electronics,3,1200,118
2024-02-17,P005,Notebook Pack,Stationery,12,60,24
2024-02-17,P006,Rain Jacket,Clothing,4,240,41
2024-02-17,P007,Coffee Maker,Home Appliances,16,1280,190
2024-02-18,P001,Winter Coat,Clothing,2,200,85
2024-02-18,P002,T-Shirt,Clothing,20,500,194
2024-02-18,P003,Chocolate Box,Food,36,720,134
2024-02-18,P004,LED TV,Electronics,21,8400,195
2024-02-18,P005,Notebook Pack,Stationery,11,55,98
2024-02-18,P006,Rain Jacket,Clothing,5,300,49
2024-02-18,P007,Coffee Maker,Home Appliances,19,1520,164
2024-02-19,P001,Winter Coat,Clothing,2,200,48
2024-02-19,P002,T-Shirt,Clothing,17,425,169
2024-02-19,P003,Chocolate Box,Food,50,1000,28
2024-02-19,P004,LED TV,Electronics,16,6400,127
2024-02-19,P005,Notebook Pack,Stationery,23,115,185
2024-02-19,P006,Rain Jacket,Clothing,4,240,114
2024-02-19,P007,Coffee Maker,Home Appliances,7,560,157
2024-02-20,P001,Winter Coat,Clothing,2,200,170
2024-02-20,P002,T-Shirt,Clothing,21,525,101
2024-02-20,P003,Chocolate Box,Food,33,660,49
2024-02-20,P004,LED TV,Electronics,23,9200,135
2024-02-20,P005,Notebook Pack,Stationery,12,60,183
2024-02-20,P006,Rain Jacket,Clothing,3,180,128
2024-02-20,P007,Coffee Maker,Home Appliances,9,720,47
2024-02-21,P001,Winter Coat,Clothing,2,200,162
2024-02-21,P002,T-Shirt,Clothing,24,600,93
2024-02-21,P003,Chocolate Box,Food,25,500,39
2024-02-21,P004,LED TV,Electronics,15,6000,113
2024-02-21,P005,Notebook Pack,Stationery,17,85,20
2024-02-21,P006,Rain Jacket,Clothing,2,120,168
2024-02-21,P007,Coffee Maker,Home Appliances,5,400,172
2024-02-22,P001,Winter Coat,Clothing,0,0,116
2024-02-22,P002,T-Shirt,Clothing,4,100,147
2024-02-22,P003,Chocolate Box,Food,33,660,195
2024-02-22,P004,LED TV,Electronics,7,2800,199
2024-02-22,P005,Notebook Pack,Stationery,7,35,105
2024-02-22,P006,Rain Jacket,Clothing,1,60,18
2024-02-22,P007,Coffee Maker,Home Appliances,17,1360,125
2024-02-23,P001,Winter Coat,Clothing,4,400,102
2024-02-23,P002,T-Shirt,Clothing,15,375,133
2024-02-23,P003,Chocolate Box,Food,23,460,69
2024-02-23,P004,LED TV,Electronics,23,9200,87
2024-02-23,P005,Notebook Pack,Stationery,13,65,40
2024-02-23,P006,Rain Jacket,Clothing,3,180,52
2024-02-23,P007,Coffee Maker,Home Appliances,11,880,25
2024-02-24,P001,Winter Coat,Clothing,5,500,52
2024-02-24,P002,T-Shirt,Clothing,17,425,168
2024-02-24,P003,Chocolate Box,Food,45,900,97
2024-02-24,P004,LED TV,Electronics,13,5200,163
2024-02-24,P005,Notebook Pack,Stationery,22,110,136
2024-02-24,P006,Rain Jacket,Clothing,4,240,100
2024-02-24,P007,Coffee Maker,Home Appliances,7,560,59
2024-02-25,P001,Winter Coat,Clothing,3,300,165
2024-02-25,P002,T-Shirt,Clothing,16,400,95
2024-02-25,P003,Chocolate Box,Food,45,900,24
2024-02-25,P004,LED TV,Electronics,9,3600,71
2024-02-25,P005,Notebook Pack,Stationery,20,100,140
2024-02-25,P006,Rain Jacket,Clothing,5,300,142
2024-02-25,P007,Coffee Maker,Home Appliances,23,1840,96
2024-02-26,P001,Winter Coat,Clothing,4,400,56
2024-02-26,P002,T-Shirt,Clothing,15,375,147
2024-02-26,P003,Chocolate Box,Food,21,420,197
2024-02-26,P004,LED TV,Electronics,23,9200,95
2024-02-26,P005,Notebook Pack,Stationery,9,45,66
2024-02-26,P006,Rain Jacket,Clothing,5,300,12
2024-02-26,P007,Coffee Maker,Home Appliances,12,960,98
2024-02-27,P001,Winter Coat,Clothing,3,300,155
2024-02-27,P002,T-Shirt,Clothing,16,400,146
2024-02-27,P003,Chocolate Box,Food,28,560,132
2024-02-27,P004,LED TV,Electronics,14,5600,182
2024-02-27,P005,Notebook Pack,Stationery,10,50,190
2024-02-27,P006,Rain Jacket,Clothing,5,300,190
2024-02-27,P007,Coffee Maker,Home Appliances,19,1520,140
2024-02-28,P001,Winter Coat,Clothing,4,400,172
2024-02-28,P002,T-Shirt,Clothing,7,175,91
2024-02-28,P003,Chocolate Box,Food,37,740,10
2024-02-28,P004,LED TV,Electronics,16,6400,103
2024-02-28,P005,Notebook Pack,Stationery,25,125,122
2024-02-28,P006,Rain Jacket,Clothing,3,180,109
2024-02-28,P007,Coffee Maker,Home Appliances,10,800,33
2024-02-29,P001,Winter Coat,Clothing,3,300,66
2024-02-29,P002,T-Shirt,Clothing,23,575,90
2024-02-29,P003,Chocolate Box,Food,40,800,175
2024-02-29,P004,LED TV,Electronics,15,6000,166
2024-02-29,P005,Notebook Pack,Stationery,4,20,113
2024-02-29,P006,Rain Jacket,Clothing,4,240,179
2024-02-29,P007,Coffee Maker,Home Appliances,8,640,174
2024-03-01,P001,Winter Coat,Clothing,3,300,186
2024-03-01,P002,T-Shirt,Clothing,15,375,38
2024-03-01,P003,Chocolate Box,Food,15,300,50
2024-03-01,P004,LED TV,Electronics,7,2800,73
2024-03-01,P005,Notebook Pack,Stationery,4,20,127
2024-03-01,P006,Rain Jacket,Clothing,5,300,185
2024-03-01,P007,Coffee Maker,Home Appliances,11,880,143
2024-03-02,P001,Winter Coat,Clothing,2,200,94
2024-03-02,P002,T-Shirt,Clothing,6,150,120
2024-03-02,P003,Chocolate Box,Food,11,220,133
2024-03-02,P004,LED TV,Electronics,8,3200,71
2024-03-02,P005,Notebook Pack,Stationery,17,85,163
2024-03-02,P006,Rain Jacket,Clothing,2,120,108
2024-03-02,P007,Coffee Maker,Home Appliances,10,800,48
2024-03-03,P001,Winter Coat,Clothing,3,300,116
2024-03-03,P002,T-Shirt,Clothing,23,575,10
2024-03-03,P003,Chocolate Box,Food,14,280,101
2024-03-03,P004,LED TV,Electronics,21,8400,106
2024-03-03,P005,Notebook Pack,Stationery,18,90,5
2024-03-03,P006,Rain Jacket,Clothing,3,180,50
2024-03-03,P007,Coffee Maker,Home Appliances,3,240,59
2024-03-04,P001,Winter Coat,Clothing,5,500,137
2024-03-04,P002,T-Shirt,Clothing,22,550,131
2024-03-04,P003,Chocolate Box,Food,8,160,153
2024-03-04,P004,LED TV,Electronics,2,800,37
2024-03-04,P005,Notebook Pack,Stationery,8,40,48
2024-03-04,P006,Rain Jacket,Clothing,1,60,181
2024-03-04,P007,Coffee Maker,Home Appliances,21,1680,64
2024-03-05,P001,Winter Coat,Clothing,4,400,167
2024-03-05,P002,T-Shirt,Clothing,7,175,117
2024-03-05,P003,Chocolate Box,Food,9,180,142
2024-03-05,P004,LED TV,Electronics,16,6400,172
2024-03-05,P005,Notebook Pack,Stationery,19,95,189
2024-03-05,P006,Rain Jacket,Clothing,2,120,108
2024-03-05,P007,Coffee Maker,Home Appliances,14,1120,63
2024-03-06,P001,Winter Coat,Clothing,1,100,10
2024-03-06,P002,T-Shirt,Clothing,21,525,170
2024-03-06,P003,Chocolate Box,Food,5,100,148
2024-03-06,P004,LED TV,Electronics,5,2000,32
2024-03-06,P005,Notebook Pack,Stationery,14,70,48
2024-03-06,P006,Rain Jacket,Clothing,5,300,42
2024-03-06,P007,Coffee Maker,Home Appliances,11,880,50
2024-03-07,P001,Winter Coat,Clothing,2,200,118
2024-03-07,P002,T-Shirt,Clothing,19,475,168
2024-03-07,P003,Chocolate Box,Food,20,400,152
2024-03-07,P004,LED TV,Electronics,4,1600,139
2024-03-07,P005,Notebook Pack,Stationery,22,110,166
2024-03-07,P006,Rain Jacket,Clothing,5,300,22
2024-03-07,P007,Coffee Maker,Home Appliances,4,320,26
2024-03-08,P001,Winter Coat,Clothing,0,0,11
2024-03-08,P002,T-Shirt,Clothing,16,400,69
2024-03-08,P003,Chocolate Box,Food,19,380,5
2024-03-08,P004,LED TV,Electronics,12,4800,77
2024-03-08,P005,Notebook Pack,Stationery,23,115,154
2024-03-08,P006,Rain Jacket,Clothing,4,240,27
2024-03-08,P007,Coffee Maker,Home Appliances,3,240,200
2024-03-09,P001,Winter Coat,Clothing,5,500,136
2024-03-09,P002,T-Shirt,Clothing,5,125,87
2024-03-09,P003,Chocolate Box,Food,12,240,158
2024-03-09,P004,LED TV,Electronics,5,2000,129
2024-03-09,P005,Notebook Pack,Stationery,15,75,141
2024-03-09,P006,Rain Jacket,Clothing,4,240,34
2024-03-09,P007,Coffee Maker,Home Appliances,2,160,117
2024-03-10,P001,Winter Coat,Clothing,5,500,91
2024-03-10,P002,T-Shirt,Clothing,2,50,146
2024-03-10,P003,Chocolate Box,Food,16,320,57
2024-03-10,P004,LED TV,Electronics,21,8400,75
